"","StartDate","EndDate","Status","IPAddress","Progress","Duration..in.seconds.","Finished","RecordedDate","ResponseId","RecipientLastName","RecipientFirstName","RecipientEmail","ExternalReference","LocationLatitude","LocationLongitude","DistributionChannel","UserLanguage","consent_q","att1","att2","willing_friend_1","willing_romantic_1","wtp","true_1","talk_listen_1","not_judge_1","feel_1","understand_1","body_1","comp_1","comp_2","willing_friend_1.1","willing_romantic_1.1","wtp.1","true_1.1","talk_listen_1.1","not_judge_1.1","feel_1.1","understand_1.1","body_1.1","comp_1.1","comp_2.1","loneliness_1_1","loneliness_2_1","loneliness_3_1","ai_companion_exp","ai_companion_exp2","gender","gender_4_TEXT","ethnicity","ethnicity_6_TEXT","age","edu","edu_8_TEXT","ai_capability_1","Q14","completion_code","completion_code.1","willing_friend_post_1","willing_partner_post_1","wtp_post","true_post_1","talk_listen_post_1","not_judge_post_1","feel_post_1","understand_post_1","body_post_1","comp1_post","comp2_post","willing_friend_post_1.1","willing_partner_post_1.1","wtp_post.1","true_post_1.1","talk_listen_post_1.1","not_judge_post_1.1","feel_post_1.1","understand_post_1.1","body_post_1.1","comp1_post.1","comp2_post.1","believe_q","explain","interaction_type","will_interact","finished_conversation","Create.New.Field.or.Choose.From.Dropdown..."
"100","2022-11-17 08:50:55","2022-11-17 09:12:53","0","Anonymized","100","1318","1","2022-11-17 09:12:54","R_3rNBao9ZlKZqmiJ","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","","","","","","","","","","","","","","","","","","","","","","","0","0","0","2","","2","","2","","40","4","","80",100,"2800-0593-1480-1108","","50","10","0.99","50","50","25","50","50","100","1","2","","","","","","","","","","","","2","It didn't initiate the conversation and only responded to what I have said.","human","yes","yes",""
"101","2022-11-17 08:52:48","2022-11-17 09:13:03","0","Anonymized","100","1215","1","2022-11-17 09:13:03","R_3p8TnXG5cqRXXkH","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","","","","","","","","","","","","","","","","","","","","","","","55","20","20","2","","2","","3","","34","3","","100",101,"1973-3105-5715-7337","","65","60","1","55","100","100","50","50","100","1","2","","","","","","","","","","","","2","It was a very good chatbot, but I'm sure it was a chatbot. The reason I think so is because they were very positive the whole time and there were no grammatical errors or anything like that.","human","yes","yes",""
"102","2022-11-17 08:46:52","2022-11-17 09:15:05","0","Anonymized","100","1693","1","2022-11-17 09:15:05","R_3KAVgJZtcoRXOy6","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","","","","","","","","","","","","","","","","","","","","","","","57","58","66","2","","2","","3","","34","4","","64",102,"1214-4996-6646-2391","","61","94","10","64","59","61","62","63","65","2","2","","","","","","","","","","","","1","Nice","human","yes","yes",""
"103","2022-11-17 08:55:15","2022-11-17 09:17:22","0","Anonymized","100","1326","1","2022-11-17 09:17:25","R_0OplvKubsiath5f","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","","","","","","","","","","","","","","","","","","","","","","","86","84","83","2","","2","","3","","29","5","","72",103,"1855-7522-7420-9918","","100","90","8","95","92","87","85","87","77","1","2","","","","","","","","","","","","1","because she answered very well and interesting so that is really human ","human","yes","yes",""
"104","2022-11-17 08:56:00","2022-11-17 09:18:59","0","Anonymized","100","1378","1","2022-11-17 09:18:59","R_1hGVHgAiUbrbwLE","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","","","","","","","","","","","","","","","","","","","","","","","65","40","60","2","","1","","3","","25","3","","70",104,"2739-4141-1404-0482","","45","35","5","34","70","70","55","40","75","1","2","","","","","","","","","","","","2","I was going to straight up ask if it was a human just to see what it would say, but the instant reply and saying I should watch the movie Interstellar when I had just stated I've already seen it gave it away. The responses were slightly generic and lacked a little depth, but I'd consider them good enough to fool the average person. ","human","yes","yes",""
"105","2022-11-17 09:02:13","2022-11-17 09:20:42","0","Anonymized","100","1108","1","2022-11-17 09:20:42","R_C1QMOGhSr8XT9Yt","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","","","","","","","","","","","","","","","","","","","","","","","27","26","56","2","","1","","3","","30","1","","77",105,"5899-5793-8733-2816","","72","76","0","73","69","64","34","35","93","1","2","","","","","","","","","","","","2","Quick responses.","human","yes","yes",""
"106","2022-11-17 09:02:32","2022-11-17 09:20:47","0","Anonymized","100","1095","1","2022-11-17 09:20:48","R_2tlKMbCK9BXkEGX","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","","","","","","","","","","","","","","","","","","","","","","","40","30","40","2","","2","","3","","47","5","","73",106,"9197-0330-9722-8781","","56","20","0","58","50","64","49","69","83","1","2","","","","","","","","","","","","2","Sometimes they didn't make sense or weren't following the dialog correctly.","human","yes","yes",""
"107","2022-11-17 08:56:37","2022-11-17 09:23:34","0","Anonymized","100","1616","1","2022-11-17 09:23:35","R_2eXLYvWlqJ3rw8Q","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","","","","","","","","","","","","","","","","","","","","","","","31","41","59","2","","2","","3","","34","3","","85",107,"0759-5999-0988-1306","","71","21","7.00","61","92","92","62","17","100","1","2","","","","","","","","","","","","2","I felt I was talking to a chatbot because the responses were kind and on topic, but flat and always the same time of response.","human","yes","yes",""
"108","2022-11-17 09:07:03","2022-11-17 09:26:08","0","Anonymized","100","1144","1","2022-11-17 09:26:09","R_3qwamImFDYFrAvt","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","","","","","","","","","","","","","","","","","","","","","","","100","81","91","2","","1","","3","","41","4","","6",108,"7460-9880-5296-4806","","20","10","0","40","35","50","20","50","75","1","2","","","","","","","","","","","","1","they stayed remarkably on topic, despite not giving any specific or individualized information","human","yes","yes",""
"109","2022-11-17 09:34:56","2022-11-17 09:54:40","0","Anonymized","100","1183","1","2022-11-17 09:54:41","R_2ydYKo3nivPsGCp","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","","","","","","","","","","","","","","","","","","","","","","","16","19","7","2","","1","","3","","30","3","","100",109,"6034-5336-9697-4798","","85","50","5","21","77","75","9","6","100","1","2","","","","","","","","","","","","2","They seemed like a human based off the interactions, but towards the end they started to become repetitive. ","human","yes","yes",""
"110","2022-11-17 10:26:41","2022-11-17 10:52:19","0","Anonymized","100","1538","1","2022-11-17 10:52:20","R_3szeGjGYuaWVyhP","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","","","","","","","","","","","","","","","","","","","","","","","0","0","0","2","","2","","3","","42","5","","95",110,"6462-9280-9244-6766","","96","100","7.99","0","90","10","0","0","0","1","2","","","","","","","","","","","","1","The picture shown had the statement that we can chat with real people using the chatty app.","human","yes","yes",""
